date,course,tees,holes,nine,score,front_9,back_9,sg_total,sg_t2g,sg_ott,sg_app,sg_wedge,sg_arg,sg_sand,sg_putting,gir,fairways,putts,penalties,summary
2026-06-13,Falmouth Country Club,Green,18,,87,40,47,-13.6,-12.51,-2.84,-7.93,-0.21,-1.53,-0.62,-1.09,10/18,4/14,35,4,"Reset physically and mentally before rounds. Rebuild iron contact and non-driver tee-shot patterns, then protect focus late in rounds."
2026-06-07,Falmouth Country Club,Blue,18,,84,45,39,-9.5,-10.23,-7.11,-3.42,1.28,-0.98,,0.73,9/18,2/14,34,6,"Make pause-at-the-top tempo the default reset. Off the tee, prioritize predictable start line and one-way miss before trying to shape shots."
2026-05-31,Falmouth Country Club,Blue,18,,83,44,39,-8.51,-5.44,-4.74,-2.44,0.16,1.58,,-3.08,8/18,6/14,34,2,"Keep the iron structure, but practice controlled partial-iron distance windows. Off the tee, build a driver pattern that removes the big right miss. Start putting warmups with speed control."
2026-05-29,Falmouth Country Club,Green,18,,79,42,37,-5.47,-5.4,-4.27,-0.41,0,-0.72,-1.6,-0.07,9/18,6/14,31,2,"Keep building around the iron feel from the lesson: weaker grip, pause, smooth tempo. Spend focused work on tee-shot start line and sand contact."
2026-05-24,Falmouth Country Club,Blue,18,,83,43,40,-8.42,-6.67,-9.28,1.67,0.94,0,-0.88,-1.75,11/18,6/14,33,4,"Rebuild the late-round tee-shot feel: closed setup, aggressive swing, stay down through contact. Keep preserving the iron and wedge positives."
2026-05-23,Falmouth Country Club,Blue,9,back,41,,41,-3.16,-3.75,-2.73,-0.54,,-0.48,-2.22,0.6,3/9,3/7,14,1,
2026-05-18,Falmouth Country Club,Blue,9,front,38,38,,-1.33,-0.95,-0.02,-0.9,,-0.03,-0.77,-0.38,5/9,3/7,15,0,
2026-05-09,Falmouth Country Club,Blue,9,front,40,40,,-3.28,0.03,-0.96,0.76,-0.4,0.63,,-3.32,6/9,4/7,20,0,
2026-05-03,Falmouth Country Club,Blue,9,front,40,40,,-3.34,-1.27,-1.25,-1.17,-0.23,1.37,,-2.07,4/9,3/7,,1,
2026-04-25,Falmouth Country Club,Blue (R1),9,front,38,38,,-1.42,-0.91,-1.56,-0.02,0.06,0.61,,-0.51,7/9,3/7,17,1,
2026-04-25,Falmouth Country Club,Blue (R2),9,front,37,37,,-0.45,0.77,-0.81,0.17,,1.4,0.57,-1.21,7/9,2/7,17,1,
2026-04-18,Portland Country Club,Green,18,,88,45,43,-14.85,-5,-0.78,-4.14,-0.11,0.04,,-9.85,8/13,3/9,43,0,
2026-06-20,Falmouth Country Club,Green,18,,88,40,48,-14.4,-11.11,-5.94,-2.08,-0.19,-2.9,-0.45,-3.29,9/18,3/14,37,4,"Worst round of the year in the member-member: OTT penalties and doubles drove the score, short putts leaked shots, and attitude faded as the round got worse."
2026-06-24,Falmouth Country Club,Blue,9,front,44,44,,-7.03,-3.6,-1.97,-1.31,-0.51,0.18,0,-3.43,5/9,3/7,19,2,"Poor scoring front nine, but excellent attitude and body language. Stayed present through sounds, scenery, and slower breathing while using lower-body stability as the primary swing feel."
2026-06-25,Falmouth Country Club,Blue,9,front,39,39,,-1.95,-2.79,-1.96,0.89,-1.72,0,0.12,0.84,5/9,3/7,15,1,"Strong driver and iron play with a good attitude. One 4-wood miss right on No. 3 caused the only penalty and a triple bogey. The primary swing feel was keeping the butt back."
2026-06-29,Brunswick Golf Course,Blue,18,,86,43,43,-11.56,-12.16,-2.53,-4.43,-3.15,-2.05,-0.91,0.61,7/18,5/14,31,1,"Mostly positive attitude and a strong finish with three straight pars, but poor shot commitment and defensive swings hurt the round. Driver tempo improved and produced some of the best drives of the year. Irons and wedges were poor, with push-slices and a few borderline shanks. Putting was a strength."
2026-07-01,Falmouth Country Club,Blue,18,,79,37,42,-4.24,-1.62,-2.89,1.09,0.36,-0.18,0.04,-2.62,12/18,7/14,37,1,"Best 18-hole round of the year. Stabilizing the left leg and rotating over it, with the swing started by upper-body rotation rather than lower-body slide, produced strong ball striking when paired with slow tempo and committed target/shape."
